NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
38002408;PRAPOUTEL;45.253833;6.016333;1595;202501;;;0;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;41;9;60;9;29;25;25;24;;;
38002408;PRAPOUTEL;45.253833;6.016333;1595;202502;48.0;1;22;;17.0;1;13;7;4;1;0;0;0;;;0;;;;6.7;1;22;;11.5;1;21;-1.3;1;14;1;0;0;0;22;22;0;-1.6;1;21;;-10.3;1;15;1.3;1;25;3;1;21;21;21;0;0;13;8.1;1;18.5;1;15;20;2.5;1;20;;;0;;-3.3;1;14;6.3;1;21;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;18;1;10;1;13;22;;5;2;1;;45;9;50;9;1;25;25;25;;;
38002408;PRAPOUTEL;45.253833;6.016333;1595;202503;44.1;1;18;;12.0;1;25;6;4;2;0;0;0;;;0;;;;5.5;1;19;;11.0;1;8;-1.8;1;16;1;0;0;0;19;19;0;-2.5;1;20;;-8.1;1;17;1.5;1;9;3;0;20;20;20;0;0;19;8.9;1;13.3;1;18;15;1.4;1;15;;;0;;-3.2;1;16;6.2;1;9;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;32;1;10;1;15;20;;10;2;2;;35;9;51;9;16;21;20;17;;;
38002408;PRAPOUTEL;45.253833;6.016333;1595;202512;0.2;1;13;;0.1;1;23;0;0;0;0;0;0;;;0;;;;7.5;1;12;;15.0;1;12;5.0;1;19;0;0;0;0;12;12;0;-1.2;1;13;;-9.6;1;31;3.6;1;20;2;0;13;13;13;0;0;8;7.0;1;7.9;1;28;9;3.7;1;9;;;0;;2.3;1;26;6.0;1;20;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;1;1;1;1;23;15;;1;0;0;;15;9;33;9;13;15;15;1;;;
38002408;PRAPOUTEL;45.253833;6.016333;1595;202601;51.4;1;25;;31.3;1;27;6;2;1;1;0;0;;;0;;;;2.0;1;25;;8.2;1;19;-12.4;1;6;6;0;0;0;25;25;0;-6.1;1;27;;-13.7;1;7;1.8;1;17;16;7;27;27;27;0;0;24;8.4;1;16.0;1;15;22;-2.1;1;22;;;0;;-12.5;1;6;4.3;1;19;;;;0;;;;0;;;0;;;;17.6;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;124;1;40;1;9;28;;9;8;5;;46;9;75;9;29;28;28;20;;;
38002408;PRAPOUTEL;45.253833;6.016333;1595;202602;181.0;1;23;;39.8;1;11;10;7;7;1;0;0;;;0;;;;4.4;1;23;;10.7;1;27;-1.0;1;4;1;0;0;0;23;23;0;-2.8;1;22;;-8.0;1;15;3.6;1;27;5;0;22;22;22;0;0;17;7.2;1;13.5;1;22;19;0.7;1;19;;;0;;-2.6;1;4;7.2;1;27;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;115;1;30;1;16;23;;12;8;4;;96;9;150;9;21;24;24;24;;;
38002408;PRAPOUTEL;45.253833;6.016333;1595;202603;65.0;1;25;;18.2;1;13;9;3;3;0;0;0;;;0;;;;6.4;1;24;;10.8;1;13;-3.2;1;26;3;0;0;0;24;24;0;-2.6;1;25;;-10.0;1;28;1.9;1;7;7;1;25;25;25;0;0;19;9.1;1;15.0;1;28;19;1.7;1;19;;;0;;-4.7;1;27;5.9;1;7;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;83;1;19;1;26;25;;9;6;4;;98;9;124;9;31;25;25;25;;;
38002408;PRAPOUTEL;45.253833;6.016333;1595;202604;0.0;1;1;;0.0;1;;0;0;0;0;0;0;;;0;;;;8.0;1;1;;8.0;1;3;8.0;1;3;0;0;0;0;1;1;0;-7.4;1;1;;-7.4;1;4;-7.4;1;4;1;0;1;1;1;0;0;1;;;;;;0;;;0;;;0;;;;;;;;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;0;1;0;1;;1;;0;0;0;;;;;;;;;;;;
38005001;ALLEMOND;45.203333;6.040333;1270;202501;287.5;1;31;;41.1;1;9;14;13;13;2;0;0;;;0;;;;5.4;1;31;;13.0;1;25;-4.6;1;12;3;0;0;0;31;31;0;-1.5;1;31;;-8.4;1;13;4.6;1;25;6;0;31;31;31;0;0;20;6.9;1;13.7;1;24;31;2.0;1;31;;;0;;-5.6;1;12;8.8;1;25;;;;0;;;;0;;;0;;;;23.0;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38005001;ALLEMOND;45.203333;6.040333;1270;202502;65.7;1;28;;17.5;1;25;8;4;3;0;0;0;;;0;;;;8.0;1;28;;14.7;1;21;1.2;1;1;0;0;0;0;28;28;0;-0.1;1;28;;-5.9;1;15;4.8;1;22;1;0;28;28;28;0;0;12;8.2;1;14.4;1;15;28;3.9;1;28;;;0;;-0.5;1;1;9.2;1;21;;;;0;;;;0;;;0;;;;27.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
