NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202501;86.0;1;31;;16.9;1;11;9;8;4;0;0;0;;;0;;;;9.9;1;31;;17.5;1;5;2.9;1;12;0;0;0;0;31;31;0;-1.8;1;31;;-8.9;1;13;8.3;1;27;5;0;31;31;31;0;0;21;11.7;1;18.5;1;24;31;4.0;1;31;2.6;1;31;0;-1.8;1;13;12.6;1;27;;;;0;;;;0;;;0;;;;37.1;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202502;49.3;1;28;;12.0;1;14;8;3;1;0;0;0;;;0;;;;12.0;1;28;;18.6;1;21;4.5;1;8;0;0;0;0;28;28;0;-1.1;1;28;;-6.3;1;9;3.8;1;22;1;0;28;28;28;0;0;19;13.1;1;17.7;1;18;28;5.4;1;28;4.0;1;28;0;0.7;1;9;9.9;1;21;;;;0;;;;0;;;0;;;;39.6;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202503;134.5;1;31;;27.5;1;23;14;8;5;0;0;0;;;0;;;;10.9;1;31;;19.1;1;31;2.0;1;14;0;0;0;0;31;31;0;0.1;1;31;;-5.8;1;16;6.5;1;21;1;0;31;31;31;0;0;16;10.8;1;21.0;1;31;31;5.5;1;31;4.8;1;31;0;0.2;1;15;12.1;1;21;;;;0;;;;0;;;0;;;;55.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202504;84.3;1;30;;22.1;1;13;9;5;3;0;0;0;;;0;;;;16.6;1;30;;22.9;1;30;8.6;1;16;0;0;0;0;23;30;0;3.0;1;30;;-1.1;1;20;7.7;1;13;0;0;30;30;30;0;0;5;13.6;1;21.6;1;1;30;9.8;1;30;9.3;1;30;0;4.4;1;16;14.2;1;12;;;;0;;;;0;;;0;;;;89.9;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202505;70.6;1;31;;15.6;1;4;10;5;3;0;0;0;;;0;;;;18.5;1;31;;29.3;1;30;9.8;1;5;0;3;0;0;20;30;0;5.3;1;31;;1.3;1;13;9.3;1;31;0;0;31;31;31;0;0;0;13.2;1;21.6;1;30;31;11.9;1;31;11.4;1;31;0;6.7;1;6;18.5;1;30;;;;0;;;;0;;;0;;;;107.1;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202506;48.0;1;30;;16.9;0;29;8;3;2;0;0;0;;;0;;;;26.7;1;30;;32.8;1;25;16.7;1;2;0;19;10;0;4;13;3;10.2;1;30;;6.2;1;9;13.7;1;14;0;0;14;30;30;0;0;0;16.4;1;22.0;1;21;30;18.5;1;30;17.8;1;30;0;14.1;1;8;22.5;1;25;;;;0;;;;0;;;0;;;;152.9;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202507;109.4;1;31;;33.5;1;12;13;3;3;2;0;0;;;0;;;;23.5;1;31;;32.0;1;1;16.0;1;24;0;13;2;0;8;23;1;10.8;1;31;;5.9;1;9;16.4;1;15;0;0;13;29;31;0;0;0;12.7;1;20.0;1;17;31;17.2;1;31;16.5;1;31;0;13.1;1;7;22.1;1;1;;;;0;;;;0;;;0;;;;127.6;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202508;93.3;1;31;;29.0;1;19;11;7;2;0;0;0;;;0;;;;26.6;1;31;;34.7;1;12;15.0;1;28;0;19;11;0;4;14;6;10.9;1;31;;5.1;1;29;14.0;1;8;0;0;10;31;31;0;0;0;15.7;1;24.4;1;4;31;18.8;1;31;17.5;1;31;0;12.2;1;29;24.4;1;12;;;;0;;;;0;;;0;;;;132.7;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202509;65.2;1;30;;18.8;1;8;11;4;2;0;0;0;;;0;;;;19.8;1;30;;30.6;1;7;11.0;1;24;0;7;1;0;18;24;0;7.7;1;30;;0.7;1;27;14.1;1;8;0;0;24;30;30;0;0;0;12.1;1;22.1;1;6;30;13.7;1;30;12.7;1;30;0;6.7;1;24;20.8;1;7;;;;0;;;;0;;;0;;;;78.2;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202510;17.1;1;31;;6.8;1;23;4;1;0;0;0;0;;;0;;;;18.3;1;31;;23.4;1;7;9.9;1;26;0;0;0;0;20;31;0;4.0;1;31;;-2.3;1;27;10.0;1;10;0;0;31;31;31;0;0;3;14.3;1;20.2;1;19;31;11.1;1;31;9.8;1;31;0;6.0;1;27;14.2;1;4;;;;0;;;;0;;;0;;;;61.0;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202511;159.7;1;30;;35.8;1;6;15;9;6;1;0;0;;;0;;;;10.6;1;30;;24.5;1;5;-2.9;1;21;2;0;0;0;25;30;0;0.3;1;30;;-9.8;1;22;9.8;1;14;5;0;30;30;30;0;0;14;10.3;1;21.5;1;5;30;5.5;1;30;4.9;1;30;0;-4.1;1;21;15.7;1;13;;;;0;;;;0;;;0;;;;37.0;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202512;85.2;1;31;;20.1;1;23;13;7;2;0;0;0;;;0;;;;8.5;1;31;;20.8;1;9;0.6;1;22;0;0;0;0;30;31;0;-1.2;1;31;;-7.6;1;31;2.9;1;10;2;0;31;31;31;0;0;24;9.8;1;20.0;1;9;31;3.6;1;31;2.1;1;31;0;-1.9;1;31;10.8;1;9;;;;0;;;;0;;;0;;;;23.5;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202601;248.6;1;31;;34.6;1;24;17;13;10;3;0;0;;;0;;;;6.0;1;31;;14.1;1;13;-2.3;1;4;3;0;0;0;31;31;0;-2.8;1;31;;-13.2;1;7;1.0;1;19;6;2;31;31;31;0;0;29;8.8;1;17.0;1;7;31;1.6;1;31;0.4;1;31;0;-6.2;1;6;7.4;1;13;;;;0;;;;0;;;0;;;;26.7;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
09023002;ASCOU LAVAIL;42.725333;1.888500;1090;202602;243.5;1;28;;36.4;1;10;14;10;9;4;0;0;;;0;;;;10.7;1;28;;20.4;1;27;1.4;1;14;0;0;0;0;27;28;0;-0.4;1;28;;-3.3;1;15;3.1;1;28;0;0;28;28;28;0;0;17;11.0;1;20.2;1;25;28;5.2;1;28;3.8;1;28;0;-0.3;1;15;10.4;1;27;;;;0;;;;0;;;0;;;;41.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
