NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
33042001;BELIN-BELIET;44.493500;-0.790500;36;202501;143.1;1;31;;25.7;1;10;18;11;6;0;0;0;;;0;;;;11.7;1;31;;16.7;1;24;5.8;1;12;0;0;0;0;31;31;0;3.3;1;31;;-6.1;1;15;10.5;1;9;2;0;30;31;31;0;0;10;8.3;1;14.6;1;18;31;7.5;1;31;7.0;1;31;0;0.6;1;14;12.8;1;9;;;;0;;;;0;;;0;;;;28.2;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202502;62.7;1;28;;13.8;1;9;9;4;3;0;0;0;;;0;;;;15.3;1;28;;21.3;1;20;7.6;1;7;0;0;0;0;26;28;0;4.6;1;28;;-1.9;1;2;9.4;1;22;0;0;28;28;28;0;0;4;10.7;1;19.3;1;4;28;9.9;1;28;8.9;1;28;0;4.3;1;7;14.7;1;19;;;;0;;;;0;;;0;;;;35.1;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202503;52.5;1;31;;16.0;1;11;7;3;3;0;0;0;;;0;;;;16.5;1;31;;21.6;1;19;10.7;1;15;0;0;0;0;27;31;0;5.4;1;31;;-1.5;1;14;11.2;1;8;0;0;28;31;31;0;0;4;11.2;1;16.7;1;18;31;11.0;1;31;10.5;1;31;0;4.9;1;15;16.1;1;7;;;;0;;;;0;;;0;;;;70.5;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202504;86.0;1;30;;30.0;1;20;15;5;2;1;0;0;;;0;;;;20.4;1;30;;27.7;1;30;12.4;1;19;0;5;0;0;15;28;0;9.2;1;30;;5.2;1;17;13.6;1;11;0;0;19;30;30;0;0;0;11.2;1;21.4;1;8;30;14.8;1;30;14.3;1;30;0;10.4;1;23;20.2;1;11;;;;0;;;;0;;;0;;;;95.5;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202505;51.7;1;31;;9.1;1;10;11;4;0;0;0;0;;;0;;;;23.3;1;31;;35.8;1;30;17.8;1;5;0;8;1;1;4;27;1;10.7;1;31;;4.6;1;7;17.4;1;31;0;0;14;28;31;0;0;0;12.6;1;20.4;1;30;31;17.0;1;31;16.6;1;31;1;11.6;1;7;25.6;1;30;;;;0;;;;0;;;0;;;;124.8;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202506;44.3;1;30;;17.4;1;13;8;3;1;0;0;0;;;0;;;;29.3;1;30;;38.5;1;30;19.9;1;2;0;21;15;6;1;11;12;16.2;1;30;;9.9;1;9;19.7;1;22;0;0;1;12;30;0;0;0;13.1;1;20.6;1;20;30;22.7;1;30;22.3;1;30;11;17.7;1;2;28.8;1;30;;;;0;;;;0;;;0;;;;152.6;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202507;32.9;1;31;;9.2;1;21;6;3;0;0;0;0;;;0;;;;28.3;1;31;;37.8;1;1;22.6;1;7;0;27;9;3;0;15;7;15.8;1;31;;10.0;1;9;22.2;1;1;0;0;1;12;29;2;0;0;12.5;1;22.5;1;17;31;22.1;1;31;21.7;1;31;7;18.7;1;8;30.0;1;1;;;;0;;;;0;;;0;;;;151.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202508;46.0;1;31;;19.6;1;29;4;4;1;0;0;0;;;0;;;;30.9;1;31;;41.6;1;11;22.8;1;31;0;25;17;9;0;12;14;16.4;1;31;;10.1;1;3;22.1;1;13;0;0;0;12;25;6;0;0;14.5;1;22.8;1;7;31;23.7;1;31;22.8;1;31;13;19.1;1;29;31.3;1;11;;;;0;;;;0;;;0;;;;135.6;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202509;51.7;1;30;;13.6;1;21;9;3;2;0;0;0;;;0;;;;23.8;1;30;;35.4;1;19;16.3;1;23;0;8;5;2;6;23;3;12.6;1;30;;5.5;1;26;19.7;1;20;0;0;7;21;30;0;0;0;11.1;1;22.4;1;18;30;18.2;1;30;17.5;1;30;2;11.2;1;23;25.6;1;19;;;;0;;;;0;;;0;;;;83.1;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
33042001;BELIN-BELIET;44.493500;-0.790500;36;202510;101.5;1;31;;31.7;1;22;11;8;3;1;0;0;;;0;;;;21.4;1;31;;27.0;1;13;15.5;1;25;0;7;0;0;13;31;0;9.5;1;31;;5.1;1;6;17.1;1;22;0;0;17;30;31;0;0;0;11.8;1;19.0;1;11;31;15.5;1;31;14.7;1;31;0;11.8;1;26;18.9;1;22;;;;0;;;;0;;;0;;;;56.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
