NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202501;138.3;1;31;;41.8;1;31;12;7;5;1;0;0;;;0;;;;13.9;1;31;;17.4;1;9;10.1;1;30;0;0;0;0;31;31;0;7.7;1;31;;4.4;1;15;10.2;1;19;0;0;30;31;31;0;0;0;6.2;1;10.5;1;18;31;10.8;1;31;10.3;1;31;0;8.8;1;15;13.6;1;9;;;;0;;;;0;;;0;;;;46.8;1;24.8;1;280;1;9;20;12;0;31;22.6;1;100;1;18;20;12;0;31;14.7;1;90;1;18;17;12;0;31;4.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202502;13.0;1;28;;6.4;1;11;3;1;0;0;0;0;;;0;;;;15.3;1;28;;20.1;1;26;12.2;1;18;0;0;0;0;27;28;0;7.9;1;28;;3.9;1;15;10.7;1;22;0;0;23;28;28;0;0;0;7.3;1;12.4;1;26;28;11.6;1;28;10.6;1;28;0;9.3;1;16;13.9;1;26;;;;0;;;;0;;;0;;;;46.1;1;21.8;1;80;1;1;8;2;0;28;20.4;1;80;1;1;5;2;0;28;13.8;1;90;1;1;3;3;0;27;3.4;1;28;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202503;115.4;1;31;;27.8;1;9;10;9;5;0;0;0;;;0;;;;17.2;1;31;;22.8;1;30;14.1;1;14;0;0;0;0;27;31;0;8.5;1;31;;4.6;1;17;12.0;1;22;0;0;25;31;31;0;0;0;8.7;1;12.4;1;30;31;12.8;1;31;12.0;1;31;0;9.9;1;19;16.7;1;31;;;;0;;;;0;;;0;;;;83.5;1;29.2;1;80;1;21;17;9;1;31;25.9;1;80;1;21;16;6;0;31;17.9;1;90;1;21;12;9;3;31;4.5;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202504;67.3;1;30;;19.5;1;16;8;4;2;0;0;0;;;0;;;;19.5;1;30;;24.8;1;30;15.1;1;16;0;0;0;0;17;30;0;11.8;1;30;;9.1;1;2;14.2;1;29;0;0;3;30;30;0;0;0;7.8;1;10.9;1;25;30;15.7;1;30;15.2;1;30;0;13.2;1;17;19.5;1;30;;;;0;;;;0;;;0;;;;96.0;1;23.8;1;100;9;19;17;5;0;30;22.0;1;80;1;19;14;3;0;30;15.7;1;90;1;19;10;6;1;30;3.3;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202505;68.7;1;31;;49.4;1;20;6;3;1;1;0;0;;;0;;;;23.8;1;31;;30.0;1;29;18.2;1;4;0;8;1;0;1;28;0;14.0;1;31;;10.2;1;8;18.4;1;30;0;0;0;24;31;0;0;0;9.8;1;13.0;1;29;31;18.9;1;31;18.4;1;31;0;15.7;1;8;23.5;1;29;;;;0;;;;0;;;0;;;;135.1;1;24.3;1;80;1;20;9;3;0;31;23.0;1;80;1;22;8;2;0;31;15.4;1;90;1;20;5;3;1;31;2.8;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202506;2.0;1;30;;1.0;1;4;1;0;0;0;0;0;;;0;;;;30.3;1;30;;35.2;1;30;24.4;1;4;0;29;18;1;0;7;9;20.6;1;30;;16.9;1;5;25.7;1;30;0;0;0;0;13;17;1;0;9.6;1;13.8;1;14;30;25.5;1;30;25.0;1;30;19;21.6;1;5;30.5;1;30;;;;0;;;;0;;;0;;;;169.3;1;15.6;1;90;1;4;7;0;0;30;14.4;1;90;1;4;4;0;0;30;9.9;1;90;1;4;3;0;0;30;2.6;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202507;2.2;1;31;;1.2;1;28;2;0;0;0;0;0;;;0;;;;31.7;1;31;;35.7;1;2;29.1;1;9;0;31;23;2;0;0;12;21.0;1;31;;17.5;1;9;25.0;1;2;0;0;0;0;10;21;1;0;10.7;1;15.8;1;8;31;26.4;1;31;25.9;1;31;28;23.3;1;9;30.4;1;2;;;;0;;;;0;;;0;;;;191.5;1;22.7;1;270;1;7;12;4;0;31;21.7;1;270;1;7;7;3;0;31;12.1;1;270;1;7;5;3;0;31;3.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202508;24.6;1;31;;18.2;1;20;3;1;1;0;0;0;;;0;;;;31.9;1;31;;37.3;1;16;27.8;1;20;0;31;22;9;0;0;12;21.6;1;31;;16.3;1;29;26.7;1;13;0;0;0;0;11;22;4;0;10.3;1;13.3;1;29;31;26.8;1;31;26.0;1;31;26;23.0;1;29;31.8;1;13;;;;0;;;;0;;;0;;;;165.1;1;18.9;1;280;1;29;9;1;0;31;16.6;1;260;1;29;7;1;0;31;9.9;1;270;1;29;6;0;0;31;2.9;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202509;29.5;1;30;;23.7;1;21;3;1;1;0;0;0;;;0;;;;27.4;1;30;;31.9;1;5;22.8;1;25;0;24;4;0;0;11;0;17.1;1;30;;12.1;1;25;20.8;1;20;0;0;0;8;28;2;0;0;10.3;1;13.9;1;5;30;22.2;1;30;21.4;1;30;2;17.5;1;25;26.3;1;20;;;;0;;;;0;;;0;;;;120.3;1;15.6;1;260;9;10;12;0;0;30;14.7;1;220;1;10;10;0;0;30;8.8;1;270;9;10;3;0;0;30;2.9;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
06004002;ANTIBES-GAROUPE;43.564667;7.133000;75;202510;41.2;1;31;;15.1;1;29;7;2;2;0;0;0;;;0;;;;22.7;1;31;;26.1;1;12;15.4;1;20;0;6;0;0;4;31;0;14.2;1;31;;9.4;1;27;16.8;1;23;0;0;1;20;31;0;0;0;8.5;1;11.0;1;10;31;18.4;1;31;17.4;1;31;0;14.2;1;27;20.9;1;12;;;;0;;;;0;;;0;;;;87.7;1;24.7;1;300;1;23;14;6;0;31;22.5;1;300;1;23;14;4;0;31;13.3;1;300;1;23;9;3;0;31;3.5;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
