NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
44015001;BLAIN;47.472833;-1.771667;13;202501;234.1;1;31;;28.5;1;26;18;13;10;0;0;0;;;0;;;;9.0;1;31;;14.2;1;5;1.3;1;18;0;0;0;0;31;31;0;2.2;1;31;;-5.3;1;14;12.1;1;5;1;0;30;31;31;0;0;11;6.8;1;13.9;1;4;31;5.6;1;31;5.4;1;31;0;-1.0;1;18;13.2;1;5;;;;0;;;;0;;;0;;;;20.1;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202502;65.3;1;28;;22.7;1;21;9;4;2;0;0;0;;;0;;;;10.4;1;28;;16.8;1;20;3.1;1;3;0;0;0;0;28;28;0;3.5;1;28;;-2.7;1;2;11.7;1;21;0;0;25;28;28;0;0;7;6.9;1;13.9;1;4;28;6.9;1;28;6.5;1;28;0;0.3;1;2;13.7;1;24;;;;0;;;;0;;;0;;;;27.0;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202503;20.0;1;31;;9.0;1;9;3;1;0;0;0;0;;;0;;;;14.9;1;31;;19.2;1;7;8.2;1;16;0;0;0;0;31;31;0;4.2;1;31;;-2.9;1;14;11.9;1;7;0;0;28;31;31;0;0;2;10.7;1;17.8;1;5;31;9.5;1;31;9.1;1;31;0;3.9;1;14;15.6;1;7;;;;0;;;;0;;;0;;;;60.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202504;36.6;1;30;;7.8;1;18;7;4;0;0;0;0;;;0;;;;19.2;1;30;;27.6;1;30;13.4;1;15;0;2;0;0;17;29;0;7.1;1;30;;1.2;1;16;11.3;1;13;0;0;23;30;30;0;0;0;12.1;1;19.6;1;8;30;13.2;1;30;13.1;1;30;0;8.9;1;16;19.3;1;30;;;;0;;;;0;;;0;;;;95.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202505;34.5;1;31;;19.5;1;10;4;2;1;0;0;0;;;0;;;;22.1;1;31;;31.6;1;30;15.1;1;5;0;6;1;0;10;29;0;9.1;1;31;;2.1;1;7;15.6;1;29;0;0;20;29;31;0;0;0;13.0;1;22.1;1;30;31;15.6;1;31;15.5;1;31;0;9.8;1;7;20.6;1;30;;;;0;;;;0;;;0;;;;121.8;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202506;17.4;1;30;;7.6;1;5;5;1;0;0;0;0;;;0;;;;27.6;1;30;;37.3;1;30;18.5;1;5;0;21;11;4;3;16;8;13.3;1;30;;6.4;1;9;19.9;1;21;0;0;8;21;30;0;0;0;14.2;1;21.5;1;24;30;20.4;1;30;20.4;1;30;6;13.3;1;3;27.6;1;21;;;;0;;;;0;;;0;;;;155.6;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202507;74.1;1;31;;23.8;1;22;6;4;4;0;0;0;;;0;;;;27.2;1;31;;34.8;1;12;22.2;1;22;0;21;9;0;0;18;5;13.9;1;31;;8.0;1;8;18.9;1;1;0;0;4;16;31;0;0;0;13.3;1;21.1;1;10;31;20.6;1;31;20.4;1;31;3;16.7;1;29;26.1;1;12;;;;0;;;;0;;;0;;;;154.3;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202508;33.4;1;31;;11.3;1;28;5;4;1;0;0;0;;;0;;;;27.9;1;31;;36.1;1;11;22.4;1;30;0;25;9;1;0;15;5;14.0;1;31;;8.7;1;3;20.8;1;16;0;0;4;20;30;1;0;0;13.8;1;21.2;1;10;31;21.0;1;31;20.5;1;31;4;17.0;1;28;26.9;1;16;;;;0;;;;0;;;0;;;;139.8;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202509;75.8;1;30;;22.1;1;2;13;4;3;0;0;0;;;0;;;;21.7;1;30;;28.8;1;6;16.5;1;26;0;4;0;0;7;28;0;11.0;1;30;;4.0;1;25;16.9;1;3;0;0;12;26;30;0;0;0;10.8;1;17.9;1;6;30;16.4;1;30;15.8;1;30;0;11.5;1;25;20.7;1;7;;;;0;;;;0;;;0;;;;77.7;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
44015001;BLAIN;47.472833;-1.771667;13;202510;64.0;1;31;;12.3;1;19;9;6;2;0;0;0;;;0;;;;18.7;1;31;;22.3;1;1;12.5;1;29;0;0;0;0;21;31;0;8.2;1;31;;2.4;1;24;13.0;1;21;0;0;22;31;31;0;0;0;10.5;1;17.1;1;8;31;13.4;1;31;13.1;1;31;0;8.5;1;24;16.7;1;31;;;;0;;;;0;;;0;;;;53.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
