NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
70006001;AILLEVILLERS;47.915000;6.338333;275;202501;144.4;1;31;;31.0;1;4;12;10;6;1;0;0;;;0;;;;7.7;1;31;;16.7;1;25;-1.7;1;19;1;0;0;0;31;31;0;-1.3;1;31;;-9.3;1;14;6.6;1;27;9;0;31;31;31;0;0;18;9.0;1;16.2;1;21;31;3.2;1;31;2.8;1;31;0;-4.2;1;19;11.1;1;25;;;;0;;;;0;;;0;;;;23.9;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202502;87.0;1;28;;26.7;1;25;10;6;3;0;0;0;;;0;;;;8.9;1;28;;17.3;1;21;1.9;1;3;0;0;0;0;28;28;0;-0.2;1;28;;-6.7;1;15;7.1;1;25;3;0;28;28;28;0;0;14;9.1;1;17.0;1;19;28;4.4;1;28;3.7;1;28;0;-0.5;1;2;10.2;1;23;;;;0;;;;0;;;0;;;;24.0;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202503;29.3;1;31;;13.7;1;12;5;1;1;0;0;0;;;0;;;;14.5;1;31;;22.4;1;21;3.4;1;13;0;0;0;0;27;31;0;1.2;1;31;;-4.2;1;18;8.6;1;23;0;0;31;31;31;0;0;12;13.4;1;21.9;1;9;31;7.9;1;31;7.2;1;31;0;2.8;1;13;13.3;1;21;;;;0;;;;0;;;0;;;;57.4;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202504;63.6;1;30;;19.3;1;16;8;5;2;0;0;0;;;0;;;;19.1;1;30;;27.5;1;30;8.2;1;17;0;2;0;0;18;29;0;4.4;1;30;;-2.9;1;7;11.8;1;13;0;0;29;30;30;0;0;5;14.7;1;22.1;1;8;30;11.7;1;30;11.6;1;30;0;6.2;1;1;17.2;1;30;;;;0;;;;0;;;0;;;;87.1;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202505;55.2;1;31;;23.5;1;28;6;4;1;0;0;0;;;0;;;;21.4;1;31;;31.3;1;31;13.0;1;5;0;6;1;0;12;27;0;7.8;1;31;;1.3;1;24;13.7;1;3;0;0;21;31;31;0;0;0;13.6;1;22.2;1;19;31;14.6;1;31;14.4;1;31;0;9.4;1;6;21.4;1;31;;;;0;;;;0;;;0;;;;117.2;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202506;102.3;1;30;;24.6;1;1;9;6;4;0;0;0;;;0;;;;27.7;1;30;;35.7;1;30;18.5;1;4;0;20;11;1;4;11;7;13.3;1;30;;5.4;1;9;16.8;1;15;0;0;4;21;30;0;0;0;14.4;1;21.1;1;12;30;20.5;1;30;20.6;1;30;7;14.4;1;9;25.9;1;30;;;;0;;;;0;;;0;;;;145.9;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202507;118.4;1;31;;26.6;1;27;15;8;4;0;0;0;;;0;;;;25.9;1;31;;36.8;1;2;17.5;1;8;0;17;4;2;1;21;2;13.0;1;31;;7.5;1;9;19.7;1;3;0;0;4;26;31;0;0;0;12.9;1;20.4;1;5;31;19.5;1;31;19.0;1;31;2;13.9;1;8;27.9;1;2;;;;0;;;;0;;;0;;;;131.2;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202508;122.7;1;31;;25.3;1;1;10;6;4;0;0;0;;;0;;;;27.6;1;31;;37.1;1;13;21.3;1;23;0;20;10;2;0;17;7;12.7;1;31;;7.1;1;24;17.3;1;20;0;0;6;25;31;0;0;0;14.8;1;22.4;1;9;31;20.1;1;31;19.5;1;31;5;15.3;1;24;26.0;1;13;;;;0;;;;0;;;0;;;;127.1;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202509;147.1;1;30;;34.7;1;8;13;8;5;1;0;0;;;0;;;;20.3;1;30;;28.8;1;7;11.8;1;23;0;5;0;0;13;27;0;10.7;1;30;;3.7;1;28;16.9;1;15;0;0;15;29;30;0;0;0;9.6;1;21.8;1;19;30;15.5;1;30;14.6;1;30;0;10.2;1;26;20.8;1;20;;;;0;;;;0;;;0;;;;66.9;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
70006001;AILLEVILLERS;47.915000;6.338333;275;202510;139.3;1;31;;25.3;1;22;14;8;7;0;0;0;;;0;;;;16.3;1;31;;19.4;1;13;10.3;1;26;0;0;0;0;31;31;0;5.2;1;31;;0.4;1;2;12.2;1;21;0;0;28;31;31;0;0;0;11.1;1;16.9;1;13;31;10.7;1;31;10.1;1;31;0;7.4;1;26;14.9;1;21;;;;0;;;;0;;;0;;;;39.2;1;;;;;;;;;0;;;;;;;;;0;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
