code_region,nom_region,annee,mois,date,saison,trimestre,trend_index,temp_moy_mensuelle_region,temp_max_region,temp_min_region,precipitations_mm_region,humidite_region,vent_moyen_region,insolation_region
11,Île-de-France,1953,8,1953-08-01,ete,3,3.5833333333333335,18.400000000000002,24.25714285714286,12.857142857142858,37.128571428571426,70.66666666666667,2.733333333333333,13312.333333333334
11,Île-de-France,1953,9,1953-09-01,automne,3,3.6666666666666665,15.557142857142859,21.32857142857143,10.571428571428571,47.41428571428571,73.0,3.6833333333333336,11750.666666666666
11,Île-de-France,1953,10,1953-10-01,automne,4,3.75,11.671428571428573,15.714285714285714,8.128571428571428,26.771428571428572,,2.3833333333333333,4967.333333333333
11,Île-de-France,1953,11,1953-11-01,automne,4,3.8333333333333335,5.625,8.8375,2.95,20.7125,93.0,2.4285714285714284,3344.0
11,Île-de-France,1953,12,1953-12-01,hiver,4,3.9166666666666665,6.525,9.7625,3.75,9.0875,90.0,2.685714285714286,2177.75
11,Île-de-France,1954,1,1954-01-01,hiver,1,4.0,0.9625,3.725,-1.95,22.45,,4.557142857142857,3399.0
11,Île-de-France,1954,2,1954-02-01,hiver,1,4.083333333333333,1.175,4.5,-1.3625,41.7875,,4.242857142857143,3580.0
11,Île-de-France,1954,3,1954-03-01,printemps,1,4.166666666666667,7.6625,11.8375,3.975,34.375,81.0,4.271428571428571,6025.5
11,Île-de-France,1954,4,1954-04-01,printemps,2,4.25,8.6625,14.0625,3.2875,5.4625,66.25,5.071428571428571,13137.0
11,Île-de-France,1954,5,1954-05-01,printemps,2,4.333333333333333,12.9875,18.5875,7.6875,20.1125,69.5,3.9,10105.5
11,Île-de-France,1954,6,1954-06-01,ete,2,4.416666666666667,15.7125,20.9,10.85,41.525,74.0,3.585714285714286,10105.5
11,Île-de-France,1954,7,1954-07-01,ete,3,4.5,16.125,21.5125,10.875,26.8,69.5,4.414285714285714,10611.0
11,Île-de-France,1954,8,1954-08-01,ete,3,4.583333333333333,16.625,21.8375,12.1,57.2875,80.0,3.914285714285714,8848.5
11,Île-de-France,1954,9,1954-09-01,automne,3,4.666666666666667,14.675,19.1375,10.8125,96.275,82.0,4.385714285714285,6541.5
